login; location; followers; contributions; contributionsStreak; contributionsCurrentStreak
IonicaBizau; Romania; 150; 104283; 278; 3
tlevine; http://gitorious.org/tlevine/; 132; 24388; 315; 25
kentfredric; New Zealand; 292; 17639; 99; 0
md-5; Melbourne, Australia; 349; 17055; 22; 0
avsm; Cambridge, UK; 312; 14835; 32; 9
kevinsawicki; Redwood City, CA; 1300; 11808; 19; 2
michaelklishin; ; 518; 6849; 543; 543
sckott; Portland, OR; 184; 6513; 86; 31
azu; Japan; 204; 6306; 392; 392
substack; Oakland, California, USA; 5600; 6303; 119; 16
DamonOehlman; Sydney, Australia; 169; 6132; 47; 2
ornicar; France; 532; 5966; 44; 28
twolfson; Chicago, IL; 114; 5861; 23; 0
springmeyer; Winthrop, WA; 481; 5834; 26; 3
perlancar; Jakarta, Indonesia; 121; 5832; 45; 8
hadley; Houston, TX; 2400; 5682; 25; 9
kinlane; United States; 159; 5393; 19; 7
konklone; Washington, DC; 233; 5242; 47; 34
rkh; Berlin; 1200; 5230; 182; 3
rwjblue; Hope, RI; 197; 4903; 464; 464
parkr; San Francisco, CA; 318; 4867; 99; 13
mafintosh; Copenhagen, Denmark; 598; 4769; 275; 275
mrmrs; San Francisco; 553; 4747; 13; 2
thomasdavis; Brisbane, Australia; 732; 4692; 52; 3
kanzure; Austin, Texas; 178; 4627; 4807; 4807
addyosmani; London, England; 10000; 4615; 40; 30
vito; San Francisco, CA; 128; 4550; 49; 3
sahat; Sunnyvale, CA; 553; 4485; 448; 448
stefanpenner; New York, New York; 436; 4391; 168; 9
STRd6; Fillmore, CA; 330; 4333; 98; 0
Ocramius; Germany; 685; 4238; 60; 0
bevacqua; Buenos Aires, Argentina; 355; 4223; 112; 2
kbroman; Madison, Wisconsin, USA; 142; 4153; 177; 177
remy; Brighton, UK; 2700; 4101; 88; 6
szabgab; Israel; 131; 4083; 57; 54
tmcw; Washington, DC; 769; 4039; 35; 17
dcramer; San Francisco, CA; 1100; 4019; 19; 3
jonschlinkert; Cincinnati, OH; 215; 4019; 40; 25
JJ; Granada; 106; 3938; 77; 19
dominictarr; New Zealand; 1100; 3894; 33; 17
feross; Mountain View, CA; 1400; 3806; 24; 0
crcn; San Francisco, California; 129; 3790; 38; 3
dumganhar; Xiamen; 122; 3742; 26; 2
kaelzhang; Shanghai, China; 120; 3691; 60; 0
snoyberg; Israel; 345; 3658; 39; 39
mjhea0; San Francisco; 203; 3642; 72; 6
cordoval; LV-233; 252; 3638; 21; 3
ralphbean; Rochester, NY; 137; 3604; 59; 3
c9s; ; 805; 3592; 45; 4
jamesward; ; 576; 3591; 24; 2
syohex; Osaka, Japan; 156; 3590; 170; 8
thlorenz; New York ,NY; 259; 3568; 66; 15
sqs; San Francisco, CA; 141; 3565; 34; 2
Raynos; San Francisco; 619; 3563; 33; 2
reem; San Francisco, CA; 148; 3513; 234; 234
tcr; coast to coast; 165; 3498; 25; 0
mathiasbynens; Belgium; 2100; 3497; 26; 2
